Carimbo de data/hora,Qual é o seu grau de escolaridade?,Em que ano você finalizou o ensino médio?,Você cursou o ensino médio em escola pública ou particular?,Você cursou ensino médio tradicional ou profissionalizante?,Você tem/teve contato com alguma linguagem de programação?,Quais linguagens de programação você já usou?,Já utilizou algum software com funcionalidades estatísticas?,Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?,Qual a importância que você atribui à Estatística? ,Qual a sua principal expectativa após a conclusão da graduação?,Qual o seu sexo?,Qual a sua altura?,Qual o seu peso?,Qual a data do seu nascimento?,Qual das seguintes categorias descreve melhor sua situação de emprego?,Com quem você mora?,Quantos irmãos você tem?,Qual a sua origem?,Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?,"Em média, quanto tempo você demora para chegar a Universidade?",Possui animal de estimação?,Toca algum instrumento musical?,De quais redes sociais você participa?,Você pratica atividade física regularmente?,Quantas vezes por semana você se exercita?,Qual atividade você pratica?,"Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
11/08/2023 14:28:34,Ensino superior,2017,Totalmente em escola particular,Ensino médio tradicional,Sim,"C++, Python",Sim,"Excel ou similares, Matlab",8,Aumento salarial e oportunidades mais promissoras,Masculino,185,90,09/07/1999,Estágio,Com os pais,2,Curitiba,Transporte público,30,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram, Linkedin",Sim,5,"Corrida, Ciclismo, Musculação, Futebol, Vôlei, Basquete, skate","A da esquerda se chama Kiki, a da direita se chama Bouba.",38
11/08/2023 12:16:42,Ensino médio,2019,Totalmente em escola particular,Homescholling,Não,Nunca usei,Sim,R,8,Seguir os estudos,Masculino,184,117,04/07/2000,"Bolsa (IC, PET, Monitoria ou outra modalidade da UFPR)",Sozinho,1,Outro Estado,Transporte público,45,Não possuo,"Violão, Guitarra","Facebook, Twitter, Instagram",Sim,10,"Musculação, Jiu jitsu ","A da esquerda se chama Kiki, a da direita se chama Bouba.",33
11/08/2023 12:06:47,Ensino médio,2022,Totalmente em escola pública,Ensino médio profissionalizante (técnico),Não,Nunca usei,Não,Nunca usei,8,Seguir os estudos,Feminino,163,60,23/07/2005,Não trabalho,Com os pais,3,Região metropolitana,Serviço fretado de van/ônibus,120,Cachorro,Não toco nenhum instrumento,"Facebook, Instagram",Não,0,Nenhuma,"A da esquerda se chama Bouba, a da direita se chama Kiki.",16
11/08/2023 12:03:47,Ensino médio,2020,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,168,95,04/07/2003,Não trabalho,Sozinho,0,Interior do Paraná,Transporte público,40,Não possuo,Não toco nenhum instrumento,Facebook,Não,1,"Caminhada, Futebol","A da esquerda se chama Kiki, a da direita se chama Bouba.",36
11/08/2023 11:59:59,Ensino médio,2020,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Conseguir um emprego,Masculino,184,76,03/04/2003,Não trabalho,Com os pais,1,Curitiba,Carro/moto próprio,30,Não possuo,Não toco nenhum instrumento,"Facebook, Instagram",Sim,1,Futebol,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
11/08/2023 00:49:25,Ensino superior,2022,Totalmente em escola particular,Ensino médio com itinerário STEAM,Não,Nunca usei,Sim,Excel ou similares,10,Ter agregado muito conhecimento e ter um emprego bom,Masculino,176,93,02/01/2005,Estágio,Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio,1,Outro Estado,Transporte público,25,Não possuo,Não toco nenhum instrumento,"Twitter, Instagram, Linkedin, Outras",Sim,4,"Nenhuma, Caminhada","A da esquerda se chama Kiki, a da direita se chama Bouba.",27
10/08/2023 15:24:36,Ensino superior,2022,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,5,Conseguir um emprego,Masculino,185,73,18/01/2005,Não trabalho,Com os pais,1,Curitiba,Carro/moto próprio,30,Gato,Não toco nenhum instrumento,Instagram,Não,0,Nenhuma,"A da esquerda se chama Bouba, a da direita se chama Kiki.",27
10/08/2023 15:02:00,Mestrado,2006,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,8,Aumento salarial e oportunidades mais promissoras,Masculino,184,110,12/09/1989,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Região metropolitana,Transporte público,45,Tartaruga,Outro,"Facebook, Twitter, Instagram",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",36
10/08/2023 11:41:30,Ensino superior,2022,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,8,Seguir os estudos,Feminino,164,64,15/12/2004,Não trabalho,Com amigos,0,Outro Estado,Táxi/Aplicativo,15,Não possuo,Não toco nenhum instrumento,"Twitter, Google+, Instagram, Outras",Sim,5,Musculação,"A da esquerda se chama Kiki, a da direita se chama Bouba.",31
09/08/2023 22:30:30,Ensino médio,2015,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,175,74,21/05/1998,Trabalho com carteira assinada/Vínculo Formal,Sozinho,2,Outro Estado,Bicicleta,30,Não possuo,"Violão, Guitarra, Teclado, Contrabaixo","Facebook, Instagram, Linkedin",Sim,7,Ciclismo,"A da esquerda se chama Bouba, a da direita se chama Kiki.",36
09/08/2023 19:52:58,Ensino médio,2022,Totalmente em escola particular,Ensino médio tradicional,Sim,Nunca usei,Não,Nunca usei,10,Aumento salarial e oportunidades mais promissoras,Masculino,182,61,31/03/2005,Não trabalho,Sozinho,1,Outro Estado,Transporte público,65,Não possuo,Não toco nenhum instrumento,Instagram,Sim,3,Musculação,"A da esquerda se chama Bouba, a da direita se chama Kiki.",27
09/08/2023 18:55:22,Ensino superior,2015,Totalmente em escola pública,Ensino médio tradicional,Sim,"C, C++",Não,Excel ou similares,8,Aumento salarial e oportunidades mais promissoras,Masculino,171,70,30/10/1996,Trabalho com carteira assinada/Vínculo Formal,Sozinho,1,Interior do Paraná,Carona com amigos,10,Não possuo,Não toco nenhum instrumento,"Facebook, Twitter, Google+, Instagram, Linkedin",Sim,7,"Corrida, Musculação, Pilates, Cheerleading","A da esquerda se chama Bouba, a da direita se chama Kiki.",32
09/08/2023 18:14:57,Ensino superior,2022,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Não,Nunca usei,7,Aumento salarial e oportunidades mais promissoras,Feminino,166,66,04/06/2004,Não trabalho,Com os pais,0,Curitiba,Transporte público,30,Cachorro,Flauta,"Twitter, Instagram",Sim,2,Caminhada,"A da esquerda se chama Kiki, a da direita se chama Bouba.",38
09/08/2023 15:44:33,Ensino médio,2022,Totalmente em escola particular,Ensino médio tradicional,Sim,"Python, JavaScript",Não,Nunca usei,8,Aumento salarial e oportunidades mais promissoras,Masculino,180,71,08/03/2005,Não trabalho,Sozinho,1,Outro Estado,Transporte público,35,"Cachorro, Gato","Violão, Guitarra, Contrabaixo","Twitter, Instagram",Não,0,Caminhada,"A da esquerda se chama Bouba, a da direita se chama Kiki.",32
09/08/2023 15:21:45,Ensino médio,2019,Totalmente em escola pública,Ensino médio tradicional,Sim,"Python, VBA",Sim,"Minitab, Excel ou similares",10,Aumento salarial e oportunidades mais promissoras,Feminino,170,62,21/11/2002,Trabalho com carteira assinada/Vínculo Formal,Com os pais,1,Curitiba,Transporte público,60,Cachorro,Violão,"Twitter, Instagram, Linkedin",Sim,3,Caminhada,"A da esquerda se chama Kiki, a da direita se chama Bouba.",30
09/08/2023 15:08:01,Ensino médio,2022,Totalmente em escola particular,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,9,Seguir os estudos,Masculino,178,81,09/08/2004,Não trabalho,Sozinho,0,Outro Estado,Transporte público,35,Não possuo,Bateria,"Twitter, Instagram, Linkedin, Outras",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
09/08/2023 14:34:37,Especialização,2006,Totalmente em escola particular,Ensino médio tradicional,Sim,"PHP, C#, Python, Java, SQL, JavaScript, delphi",Sim,"Excel ou similares, Matlab",10,Seguir os estudos,Feminino,158,67,09/12/1989,funcionário público temporário,Com os pais,0,Outro Estado,Transporte público,90,Gato,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Linkedin",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",39
09/08/2023 14:14:55,Ensino médio,2022,Totalmente em escola pública,Ensino médio tradicional,Não,Nunca usei,Sim,Excel ou similares,10,Seguir os estudos,Feminino,163,70,29/07/2005,Não trabalho,Com os pais,3,Curitiba,Transporte público,60,Cachorro,Não toco nenhum instrumento,"Facebook, Twitter, Instagram, Outras",Não,0,Nenhuma,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
09/08/2023 13:47:04,Ensino médio,2021,Totalmente em escola particular,Ensino médio tradicional,Sim,"C, Python",Não,Nunca usei,8,Conseguir um emprego,Masculino,182,75,16/09/2004,Não trabalho,Com os pais,1,Curitiba,Carro/moto próprio,40,Cachorro,Não toco nenhum instrumento,"Instagram, Linkedin",Sim,2,"Corrida, Ciclismo","A da esquerda se chama Kiki, a da direita se chama Bouba.",36
